Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202003,March 2020,4,0,1,Imports,97,EU-28,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,26431960,,722390,,,0
HS,2020,202002,February 2020,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,14244990,,332217,,,0
HS,2020,202001,January 2020,4,0,1,Imports,112,Belarus,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,41638100,,1003800,,,0
HS,2020,202005,May 2020,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,8567040,,205825,,,0
HS,2020,202004,April 2020,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,23415460,,157152,,,0
HS,2020,202008,August 2020,4,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,24311480,,200277,,,0
HS,2020,202004,April 2020,4,0,1,Imports,208,Denmark,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,9162980,,357660,,,0
HS,2020,202004,April 2020,4,0,1,Imports,124,Canada,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,,,899762,,,0
HS,2020,202006,June 2020,4,0,1,Imports,208,Denmark,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,213480,,22042,,,0
HS,2020,202006,June 2020,4,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",,,,,,,12416125,,290557,,,0
